id,code,name,country_id:id
res_country_state_co_05,05,Antioquia,base.co
res_country_state_co_08,08,Atlántico,base.co
res_country_state_co_11,11,"Bogotá, D.C.",base.co
res_country_state_co_13,13,Bolívar,base.co
res_country_state_co_15,15,Boyacá,base.co
res_country_state_co_17,17,Caldas,base.co
res_country_state_co_18,18,Caquetá,base.co
res_country_state_co_19,19,Cauca,base.co
res_country_state_co_20,20,Cesar,base.co
res_country_state_co_23,23,Córdoba,base.co
res_country_state_co_25,25,Cundinamarca,base.co
res_country_state_co_27,27,Chocó,base.co
res_country_state_co_41,41,Huila,base.co
res_country_state_co_44,44,La Guajira,base.co
res_country_state_co_47,47,Magdalena,base.co
res_country_state_co_50,50,Meta,base.co
res_country_state_co_52,52,Nariño,base.co
res_country_state_co_54,54,Norte de Santander,base.co
res_country_state_co_63,63,Quindio,base.co
res_country_state_co_66,66,Risaralda,base.co
res_country_state_co_68,68,Santander,base.co
res_country_state_co_70,70,Sucre,base.co
res_country_state_co_73,73,Tolima,base.co
res_country_state_co_76,76,Valle del Cauca,base.co
res_country_state_co_81,81,Arauca,base.co
res_country_state_co_85,85,Casanare,base.co
res_country_state_co_86,86,Putumayo,base.co
res_country_state_co_88,88,"Archipiélago de San Andrés, Providencia y Santa Catalina",base.co
res_country_state_co_91,91,Amazonas,base.co
res_country_state_co_94,94,Guainía,base.co
res_country_state_co_95,95,Guaviare,base.co
res_country_state_co_97,97,Vaupés,base.co
res_country_state_co_99,99,Vichada,base.co